ano_coleta,despesas_educ_percent,despesas_saude_per_capita,despesas_educ_total,despesas_saude_%pib,receita_trib_%pib,receita_excl_doa_%pib,ibrd_e_ida,pop_cresc_anual%,pib_cresc_per_capita_%pib,pib_deflator ,domestic_saude_despesas_%pib,pib_cresc_anual%,pib_cor_us$,despesa_nac_bruta_%pib,pib_moeda_local
2007,20.85074,25.4378910064697,24.98009,5.16912341117859,16.8769793852876,21.7389079763447,2741964000.0,2.70960017630321,0.180864189566179,51.8242352523748,1.48842260241508,2.93247554619273,14904517649.8476,111.732648160158,1131782000000
2008,23.40954,27.5269832611084,26.66815,5.34494891762733,16.8769793852876,21.7389079763447,2882726000.0,2.72079621276752,2.2831784798516,55.5176663862512,1.4160075224936,5.10429977568934,16095337093.8366,110.347249415182,1274329000000
2009,22.543655,30.9609565734863,27.46934,5.31436428427696,16.8769793852876,21.7389079763447,2663224000.0,2.73922946311668,3.04501204787562,58.2378375711894,1.48269115015864,5.90666608168013,18737897744.7948,110.429285348496,1415725000000
2010,21.67777,40.938289642334,25.0814,5.87344914674759,16.8769793852876,21.7389079763447,2764089000.0,2.7579069546198,3.57620404421097,71.9412783552314,1.458456274122,6.47249429862482,25825524820.8064,109.212364281989,1862041000000
2011,25.852864,50.3218727111816,23.9500475,5.99706694483757,16.8769793852876,21.7389079763447,2968119000.0,2.76855999579287,3.93307804107606,77.789734216326,1.55638493597507,6.85072977063138,31958195182.2406,109.941250815186,2151349000000
2012,30.027957999999998,55.471076965332,22.818694999999998,6.04985170066357,16.8769793852876,21.7389079763447,3050475000.0,2.76725396349733,-2.50337322591405,89.5757929509141,1.63804534822702,0.232282745665941,35895153327.8497,110.614250653831,2483058000000
2013,34.203052,55.4607429504395,21.6873425,6.02780319750309,16.8769793852876,21.7389079763447,3156096000.0,2.75084666918483,0.503855339650002,100.0,1.68060641735792,3.30693981534758,37021512048.8158,110.798383064077,2863688000000
2014,38.378146,59.1698112487793,20.55599,6.11675269901752,16.8769793852876,21.7389079763447,3237614000.0,2.72258563675138,5.49407678533396,102.091675656592,1.77154578268528,8.40569922421719,40000088346.8041,112.164728562932,3169335000000
2015,42.55324,57.3874244689941,19.25283,5.81170096993446,16.8769793852876,21.7389079763447,3388428000.0,2.69373257244067,3.28814461707709,113.111371919955,1.79380904883146,6.1082637197965,41953433591.4101,114.523185963835,3725918000000
2016,41.76315,64.8393630981445,19.9239,5.61369732022285,16.8769793852876,21.7389079763447,3585785000.0,2.66270485977409,1.81574030031956,123.720970499004,1.8192782998085,4.5632091307112,50412754861.0191,114.066709490981,4261370003300
2017,43.0705,67.8392868041992,19.13569,5.51942139863968,16.8769793852876,21.7389079763447,3982522000.0,2.61852443669926,3.14220543531229,130.115791260388,1.85911059379578,5.87868056675418,55096728047.9408,114.990779943057,4745090000000
2018,43.12418,72.8889236450195,17.08103,5.45933581888676,16.8769793852876,21.7389079763447,4199127000.0,2.55944064959946,2.69478834898624,140.613904835221,2.04217191785574,5.35712564449969,61448046801.6041,116.218812089932,5402647460500
2019,41.76367,70.7256698608398,16.66466,5.2193857729435,16.2566353961708,21.1995920201651,4381759000.0,2.49193687127904,3.11662198206399,154.710422587329,2.10761204361916,5.71850713263132,64007750169.3344,114.403476574981,6284184900000
2020,41.76367,73.3969192504883,17.35457,5.01857623457909,16.183532527973,20.616186856952,4567712000.0,2.42114319740052,3.3462521527446,163.29819383353,2.1484300494194,5.87894929918309,69188755364.2995,110.024429716853,7022963100000
2021,41.76367,76.6103210449219,17.7087,4.80254329741001,15.6378253335664,21.9681942427668,5303104000.0,2.35681257338264,2.36450286708845,181.166164242171,2.05257199704647,4.80569652382397,78965004656.1823,113.572591446844,8165842200000
2022,41.76367,76.6103210449219,19.10403,4.80254329741001,15.0851418193626,19.6204233125343,5801797000.0,2.30594867522983,3.89485265240693,185.554861484043,2.05257199704647,6.31845070162866,87778582964.1388,113.415823457622,8892110900000
2023,41.76367,76.6103210449219,19.10403,4.80254329741001,15.0851418193626,19.6204233125343,5801797000.0,2.27190164034829,2.99893048296214,192.904792229512,2.05257199704647,5.36574896547464,95503088538.092,112.950541869089,9740360000000
